time	cases	deaths	hospitalized	icu	recovered
3/2/2020	0	0	0		
3/3/2020	0	0	0		
3/4/2020	1	0	1		
3/5/2020	1	0	1		
3/6/2020	1	0	1		
3/7/2020	1	0	1		
3/8/2020	1	0	1		
3/9/2020	1	0	1		
3/10/2020	1	0	1		
3/11/2020	1	0	1		
3/12/2020	1	0	1		
3/13/2020	1	0	1		
3/14/2020	1	0	1		
3/15/2020	1	0	1		
3/16/2020	1	0	1		
3/17/2020	1	0	1		
3/18/2020	4	1	3		
3/19/2020	4	1	3		
3/20/2020	4	1	3		
3/21/2020	5	1	3		
3/22/2020	6	1	3		
3/23/2020	6	1	3		
3/24/2020	8	1	3		
3/25/2020	9	1	3		
3/26/2020	13	1	3		
3/27/2020	16	1	4		
3/28/2020	16	1	4		
3/29/2020	17	1	5		
3/30/2020	23	1	5		
3/31/2020	28	1	6		
4/1/2020	33	1	6		
4/2/2020	33	1	6		
4/3/2020	40	1	10		
4/4/2020	43	1	10		
4/5/2020	53	1	10		
4/6/2020	65	1	13		
4/7/2020	71	1	14		
4/8/2020	75	2	15		
4/9/2020	82	3	18		
4/10/2020	111	4	23		
4/11/2020	114	4	23		
4/12/2020	146	5	25		
4/13/2020	151	6	27		
4/14/2020	154	6	27		
4/15/2020	158	6	27		
4/16/2020	167	7	28		
4/17/2020	170	7	28		
4/18/2020	176	7	28		
4/19/2020	182	9	31		
4/20/2020	185	9	31		
4/21/2020	186	10	31		
4/22/2020	189	10	31		
4/23/2020	209	11	35		
4/24/2020	210	12	36		
4/25/2020	210	12	36		
4/26/2020	211	12	36		
4/27/2020	213	12	37		
4/28/2020	217	12	37		
4/29/2020	222	12	38		
4/30/2020	224	13	39		
5/1/2020	236	13	40		
5/2/2020	236	13	40		
5/3/2020	242	13	40		
5/4/2020	245	13	41		
5/5/2020	246	13	41		
5/6/2020	252	13	42		
5/7/2020	253	13	42		
5/8/2020	253	13	42		
5/9/2020	256	13	42		
5/10/2020	257	13	42		
5/11/2020	262	13	43		
5/12/2020	274	13	43		
5/13/2020	279	13	44		
5/14/2020	280	13	44		
5/15/2020	281	13	44		
5/16/2020	285	13	44		
5/17/2020	296	13	44		
5/18/2020	311	13	44		
5/19/2020	312	13	44		
5/20/2020	323	13	44		
5/21/2020	328	14	45		
5/22/2020	333	14	45		
5/23/2020	336	15	45		
5/24/2020	377	15	46		
5/25/2020	378	15	46		
5/26/2020	381	15	46		
5/27/2020	383	15	46		
5/28/2020	403	15	46		
5/29/2020	407	15	46		
5/30/2020	408	15	46		
5/31/2020	409	15	47		
6/1/2020	413	15	47		
6/2/2020	429	15	49		
6/3/2020	432	15	49		
6/4/2020	432	15	49		
6/5/2020	438	15	49		
6/6/2020	443	15	50		
6/7/2020	446	15	50		
6/8/2020	450	15	50		
6/9/2020	452	15	50		
6/10/2020	452	15	50		
6/11/2020	462	15	52		
6/12/2020	466	15	52		
6/13/2020	470	15	53		
6/14/2020	472	15	53		
6/15/2020	478	15	53		
6/16/2020	485	15	53		
6/17/2020	493	15	53		
6/18/2020	505	15	53		
6/19/2020	555	15	53		
6/20/2020	575	15	53		
6/21/2020	584	15	53		
6/22/2020	602	15	53		
6/23/2020	620	15	54		
6/24/2020	644	15	54		
6/25/2020	696	15	55		
6/26/2020	782	15	56		
6/27/2020	950	15	56		
6/28/2020	998	15	58		
6/29/2020	1114	15	58		